;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Referencia;Nombre;Categoría;Contenido paquete;Composición del material;Nombre de la marca;2022Año;Estación;Unidad de venta;Color;Talla;Stock;N° de piezas fuera de unidad de stock;Pedido;Reserva de proveedor (cantidad de artículos individuales);Preventa;Preventa (cantidad de artículos individuales);Código de barras;Peso (en gramos);Ubicación;Precio de compra;Proveedor;Precio A;Precio B;Precio C;Precio D;Precio Promoción;País de origen;Descuento (%);Observación;Cantidad de compras;Ventas;Importe de venta;Margen €;Precio medio de venta;Precio de compra del stock positivos;Valor de stock;Stock precio A;Fecha de creación
KU2285;;Sin categoría;;;;;VERANO;1;ROSA;;6;0;0;0;0;0;2027290005186;0;;0;;12;12;12;0;0;;;;0;4;22;22;5,5;0;0;72;2026-06-26
KU498;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290005159;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
KU2185;;Sin categoría;;;;;VERANO;1;ROSA;;10;0;0;0;0;0;2027290005197;0;;0;;10;10;10;0;0;;;;0;4;28;28;7;0;0;100;2026-06-26
KU2185;;Sin categoría;;;;;VERANO;1;VERDE;;10;0;0;0;0;0;2027290005198;0;;0;;10;10;10;0;0;;;;0;4;28;28;7;0;0;100;2026-06-26
KU2185;;Sin categoría;;;;;VERANO;1;VERDE OLIVA;;10;0;0;0;0;0;2027290005199;0;;0;;10;10;10;0;0;;;;0;4;28;28;7;0;0;100;2026-06-26
KU2261;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290005214;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
KU2261;;Sin categoría;;;;;VERANO;1;VERDE;;10;0;0;0;0;0;2027290005215;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
NW12;;Sin categoría;;;;;;1;AMARILLO;;10;0;0;0;0;0;2027290005291;0;;0;;11,5;11,5;11,5;0;0;;;;0;0;0;0;0;0;0;115;2026-07-02
KU907;;Sin categoría;;;;;VERANO;1;ROSA;;10;0;0;0;0;0;2027290004783;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU2257;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290005201;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
KU2257;;Sin categoría;;;;;VERANO;1;CAMEL;;0;0;0;0;0;0;2027290005202;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;0;2026-06-26
KU2257;;Sin categoría;;;;;VERANO;1;VERDE CLARO;;8;0;0;0;0;0;2027290005273;0;;0;;10;10;10;0;0;;;;0;2;20;20;10;0;0;80;2026-06-26
KU2246;;VESTIDO;;;;;VERANO;1;VERDE;;10;0;0;0;0;0;2027290005182;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-06-26
KU2246;;VESTIDO;;;;;VERANO;1;CAMEL;;10;0;0;0;0;0;2027290005183;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-06-26
KU3209;;Sin categoría;;;;;VERANO;1;NARANJA;;10;0;0;0;0;0;2027290005181;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-06-26
